Date,SPY,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,GLD,DBC,SHY
2018-12-03,247.790283203125,139.5465087890625,50.12637710571289,34.94951248168945,61.44899368286133,92.33363342285156,84.1841049194336,84.2656021118164,116.41000366210938,13.22264575958252,69.46607971191406
2018-12-04,239.76119995117188,133.60536193847656,48.825931549072266,34.20732879638672,60.53940963745117,93.87940979003906,84.57284545898438,84.28072357177734,117.12000274658203,13.231098175048828,69.51627349853516
2018-12-06,239.39749145507812,133.3155059814453,48.36880111694336,33.89043426513672,62.03799057006836,94.17424774169922,84.78783416748047,84.53763580322266,117.13999938964844,13.12119197845459,69.58318328857422
2018-12-07,233.83485412597656,130.4354248046875,47.88014602661133,33.25666427612305,61.2253303527832,94.34954071044922,85.03596496582031,84.545166015625,118.08999633789062,13.273370742797852,69.6584701538086
2018-12-10,234.27842712402344,130.05508422851562,47.50971984863281,32.90641403198242,60.8302001953125,94.73995208740234,85.0855941772461,84.80209350585938,117.68000030517578,13.06201171875,69.6584701538086
2018-12-11,234.33164978027344,129.91921997070312,47.65946960449219,33.156585693359375,60.86000061035156,94.72403717041016,84.87055969238281,84.95321655273438,117.54000091552734,13.138099670410156,69.59156036376953
2018-12-12,235.5115509033203,131.1599578857422,48.36091995239258,33.69863510131836,59.92060470581055,94.30175018310547,84.63897705078125,85.04387664794922,117.79000091552734,13.095829010009766,69.58318328857422
2018-12-13,235.4317626953125,129.30337524414062,48.27421951293945,33.6902961730957,60.26689910888672,94.0785903930664,84.68861389160156,85.27055358886719,117.52999877929688,13.264915466308594,69.65011596679688
2018-12-14,231.0845184326172,127.34706115722656,47.65159225463867,33.2149658203125,60.09336853027344,94.4052734375,84.82093048095703,85.17989349365234,117.05999755859375,13.06201171875,69.69192504882812
2018-12-17,226.55108642578125,124.51103973388672,47.27328109741211,32.90641403198242,57.829986572265625,94.95512390136719,85.06902313232422,85.27055358886719,117.87000274658203,12.909832954406738,69.75885772705078
2018-12-18,226.30262756347656,124.35658264160156,47.31151580810547,33.1298713684082,58.42598342895508,95.5237808227539,85.27869415283203,85.57524871826172,118.1500015258789,12.639291763305664,69.79991149902344
2018-12-19,222.91358947753906,121.76673126220703,46.8574333190918,32.579689025878906,57.784698486328125,96.78575897216797,85.5770492553711,85.50700378417969,117.43000030517578,12.690017700195312,69.81666564941406
2018-12-20,219.28497314453125,119.75847625732422,46.6662483215332,32.8336181640625,56.91706466674805,96.43427276611328,85.4693374633789,85.2265853881836,119.23999786376953,12.571656227111816,69.80831909179688
2018-12-21,214.7919464111328,116.65071868896484,45.85367965698242,32.60507583618164,56.124874114990234,96.41834259033203,85.54391479492188,85.14324951171875,118.72000122070312,12.461750030517578,69.85855102539062
2018-12-24,209.11651611328125,114.38802337646484,45.319950103759766,32.30036163330078,54.12552261352539,96.89754486083984,85.75943756103516,84.94615936279297,120.0199966430664,12.323866844177246,69.9172134399414
2018-12-26,219.68212890625,119.88566589355469,46.371490478515625,32.94366455078125,55.936248779296875,95.8592300415039,85.35333251953125,84.87789916992188,119.66000366210938,12.597921371459961,69.8501968383789
2018-12-27,221.3687286376953,120.385498046875,46.50692367553711,32.901336669921875,55.9287109375,95.8752212524414,85.56876373291016,84.87789916992188,120.56999969482422,12.478021621704102,69.92562103271484
2018-12-28,221.0831298828125,120.73080444335938,46.75387191772461,33.21451950073242,56.10978317260742,96.68189239501953,86.03285217285156,85.27965545654297,121.05999755859375,12.375250816345215,70.02610778808594
2018-12-31,223.01956176757812,121.67587280273438,46.8255729675293,33.062156677246094,56.260684967041016,97.04927062988281,86.3560791015625,85.51466369628906,121.25,12.40950870513916,70.05126190185547
2019-01-02,223.25160217285156,122.36644744873047,46.72997283935547,33.146812438964844,55.03843307495117,97.56045532226562,86.53838348388672,85.77993774414062,121.33000183105469,12.443765640258789,70.05963897705078
2019-01-03,217.92417907714844,120.176513671875,46.307769775390625,32.54582977294922,55.42319869995117,98.6706314086914,87.22630310058594,85.81781768798828,122.43000030517578,12.54653549194336,70.20203399658203
2019-01-04,225.2237091064453,124.66551208496094,47.72574996948242,33.59542465209961,56.072059631347656,97.52849578857422,86.52180480957031,85.76473999023438,121.44000244140625,12.717819213867188,70.05126190185547
2019-01-07,226.99951171875,126.84639739990234,47.90897750854492,33.67160415649414,56.62281799316406,97.240966796875,86.28148651123047,85.77232360839844,121.86000061035156,12.812026023864746,70.0009765625
2019-01-08,229.13226318359375,128.79104614257812,48.21967315673828,33.798561096191406,57.792236328125,96.98542022705078,86.0660171508789,85.96183013916016,121.52999877929688,12.940488815307617,69.95909118652344
2019-01-09,230.20309448242188,129.8542022705078,48.76137161254883,34.3995475769043,57.70923614501953,96.83362579345703,86.1157455444336,86.28777313232422,122.30999755859375,13.19741439819336,69.9925765991211
2019-01-10,231.01513671875,130.5266876220703,48.952545166015625,34.64501190185547,58.493900299072266,96.21064758300781,86.07431030273438,86.06036376953125,121.58999633789062,13.16315746307373,70.0009765625
2019-01-11,231.1044464111328,130.56298828125,48.61797332763672,34.47571563720703,58.659873962402344,96.5860595703125,86.33121490478516,86.21956634521484,121.80000305175781,13.120336532592773,70.04285430908203
2019-01-14,229.69448852539062,129.26358032226562,48.39491653442383,34.187931060791016,58.463722229003906,96.22660064697266,86.28148651123047,85.99214935302734,122.08999633789062,13.009001731872559,70.04285430908203
2019-01-15,232.32693481445312,130.35401916503906,48.64984130859375,34.424930572509766,59.02203369140625,95.8752212524414,86.19862365722656,86.04521179199219,121.87999725341797,13.111772537231445,70.06798553466797
2019-01-16,232.8891143798828,131.32632446289062,48.7852668762207,34.84816360473633,59.436981201171875,95.97103881835938,86.14891052246094,86.21195220947266,122.2699966430664,13.180286407470703,70.05126190185547
2019-01-17,234.6559600830078,132.51675415039062,48.96051788330078,35.000511169433594,59.72367858886719,95.99501037597656,85.99148559570312,86.38628387451172,122.11000061035156,13.188851356506348,70.04285430908203
2019-01-18,237.77926635742188,133.87979125976562,49.454429626464844,35.1698112487793,59.92738723754883,95.49183654785156,85.71794128417969,86.53791046142578,121.0199966430664,13.32587718963623,69.98422241210938
2019-01-22,234.56680297851562,131.76254272460938,48.689674377441406,34.560367584228516,59.746307373046875,96.1387710571289,86.01627349853516,86.68193054199219,121.44999694824219,13.231671333312988,70.04285430908203
2019-01-23,235.05755615234375,131.39901733398438,48.9127197265625,34.91587448120117,59.75385284423828,96.09882354736328,85.9748306274414,86.9017105102539,121.27999877929688,13.214542388916016,70.02610778808594
2019-01-24,235.1824493408203,132.1896209716797,48.96849822998047,35.254459381103516,59.95757293701172,96.72981262207031,86.24832916259766,87.12911987304688,121.08999633789062,13.248799324035645,70.0847396850586
2019-01-25,237.1724395751953,133.88888549804688,49.526126861572266,35.720001220703125,60.70449447631836,96.26657104492188,86.04948425292969,87.20494079589844,122.86000061035156,13.317314147949219,70.03448486328125
2019-01-28,235.369873046875,133.17100524902344,49.25528335571289,35.347564697265625,61.30052947998047,96.1706771850586,86.07431030273438,87.18975067138672,123.29000091552734,13.13746452331543,70.04285430908203
2019-01-29,235.05755615234375,132.8529815673828,49.36680221557617,35.40681457519531,61.783382415771484,96.65791320800781,86.32294464111328,87.37924194335938,123.9800033569336,13.265928268432617,70.07636260986328
2019-01-30,238.77871704101562,134.3068389892578,49.908504486083984,36.17708206176758,62.28133010864258,96.5860595703125,86.52180480957031,87.78099060058594,124.69000244140625,13.360135078430176,70.16854095458984
2019-01-31,240.875732421875,135.4518585205078,49.93240737915039,36.4818000793457,62.9301643371582,97.41667175292969,86.9196548461914,88.39492797851562,124.75,13.291621208190918,70.2271728515625
2019-02-01,240.9917755126953,135.56092834472656,49.916473388671875,36.194007873535156,62.530296325683594,96.82833099365234,86.45455169677734,88.18431854248047,124.5,13.411519050598145,70.14493560791016
2019-02-04,242.687255859375,137.17840576171875,50.09969711303711,36.25325393676758,62.998077392578125,96.39603424072266,86.26355743408203,88.06267547607422,123.95999908447266,13.420083045959473,70.14493560791016
2019-02-05,243.70445251464844,137.3238067626953,50.49004364013672,36.75265884399414,63.3602294921875,96.83633422851562,86.41304779052734,88.42005157470703,124.27999877929688,13.360135078430176,70.14493560791016
2019-02-06,243.3832244873047,137.15115356445312,50.23511505126953,36.25325393676758,62.94525909423828,96.88435363769531,86.4794692993164,88.25273895263672,123.44000244140625,13.377262115478516,70.17849731445312
